timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-10-27,BNB,enter,0.0,0.534,224.1,aligned,0.667,momentum_gates,10.0
2023-10-28,BNB,exit,0.534,0.0,225.7,divergent,0.0,momentum_gates,10.0
2023-11-02,BNB,enter,0.0,0.534,231.9,aligned,0.667,momentum_gates,10.0
2023-11-03,BNB,exit,0.534,0.0,230.2,divergent,0.0,momentum_gates,10.0
2023-11-05,BNB,enter,0.0,0.534,244.0,aligned,0.667,momentum_gates,10.0
2023-11-12,BNB,exit,0.534,0.0,247.4,divergent,0.0,momentum_gates,10.0
2023-11-15,BNB,enter,0.0,0.534,253.7,aligned,0.667,momentum_gates,10.0
2023-11-16,BNB,exit,0.534,0.0,242.7,divergent,0.0,momentum_gates,10.0
2023-11-20,BNB,enter,0.0,0.534,253.1,aligned,0.667,momentum_gates,10.0
2023-11-22,BNB,exit,0.534,0.0,236.1,divergent,0.0,momentum_gates,10.0
2023-12-08,BNB,enter,0.0,0.534,238.9,aligned,0.667,momentum_gates,10.0
2023-12-10,BNB,exit,0.534,0.0,239.8,divergent,0.0,momentum_gates,10.0
2023-12-11,BNB,enter,0.0,0.534,246.4,aligned,0.667,momentum_gates,10.0
2023-12-15,BNB,exit,0.534,0.0,244.9,divergent,0.0,momentum_gates,10.0
2023-12-19,BNB,enter,0.0,0.534,252.9,aligned,0.667,momentum_gates,10.0
2023-12-20,BNB,exit,0.534,0.0,260.3,divergent,0.0,momentum_gates,10.0
2023-12-21,BNB,enter,0.0,0.534,272.1,aligned,0.667,momentum_gates,10.0
2023-12-23,BNB,exit,0.534,0.0,271.0,divergent,0.0,momentum_gates,10.0
2023-12-26,BNB,enter,0.0,0.534,297.7,aligned,0.667,momentum_gates,10.0
2023-12-27,BNB,enter,0.534,0.6,324.1,aligned,0.75,momentum_gates,10.0
2023-12-28,BNB,exit,0.6,0.534,322.6,aligned,0.667,momentum_gates,10.0
2024-01-02,BNB,exit,0.534,0.0,312.2,divergent,0.0,momentum_gates,10.0
2024-01-15,BNB,enter,0.0,0.534,317.5,aligned,0.667,momentum_gates,10.0
2024-01-16,BNB,exit,0.534,0.0,315.2,divergent,0.0,momentum_gates,10.0
2024-02-08,BNB,enter,0.0,0.534,319.2,aligned,0.667,momentum_gates,10.0
2024-02-10,BNB,exit,0.534,0.0,323.0,divergent,0.0,momentum_gates,10.0
2024-02-12,BNB,enter,0.0,0.534,327.8,aligned,0.667,momentum_gates,10.0
2024-02-24,BNB,exit,0.534,0.0,381.7,divergent,0.0,momentum_gates,10.0
2024-02-25,BNB,enter,0.0,0.534,388.5,aligned,0.667,momentum_gates,10.0
2024-02-28,BNB,exit,0.534,0.0,414.6,divergent,0.0,momentum_gates,10.0
2024-03-06,BNB,enter,0.0,0.534,429.4,aligned,0.667,momentum_gates,10.0
2024-03-13,BNB,enter,0.534,0.6,630.5,aligned,0.75,momentum_gates,10.0
2024-03-14,BNB,exit,0.6,0.534,603.2,aligned,0.667,momentum_gates,10.0
2024-03-15,BNB,enter,0.534,0.6,632.7,aligned,0.75,momentum_gates,10.0
2024-03-16,BNB,exit,0.6,0.534,576.4,aligned,0.667,momentum_gates,10.0
2024-03-19,BNB,exit,0.534,0.0,507.7,divergent,0.0,momentum_gates,10.0
2024-03-26,BNB,enter,0.0,0.534,580.4,aligned,0.667,momentum_gates,10.0
2024-03-27,BNB,exit,0.534,0.0,574.3,divergent,0.0,momentum_gates,10.0
