timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-10-27,BTC,enter,0.0,0.534,33892.02,aligned,0.667,momentum_gates,10.0
2023-10-30,BTC,exit,0.534,0.0,34474.73,divergent,0.0,momentum_gates,10.0
2023-11-09,BTC,enter,0.0,0.534,36701.09,aligned,0.667,momentum_gates,10.0
2023-11-11,BTC,exit,0.534,0.0,37130.0,divergent,0.0,momentum_gates,10.0
2023-11-15,BTC,enter,0.0,0.534,37858.2,aligned,0.667,momentum_gates,10.0
2023-11-16,BTC,exit,0.534,0.0,36163.51,divergent,0.0,momentum_gates,10.0
2023-11-24,BTC,enter,0.0,0.534,37713.57,aligned,0.667,momentum_gates,10.0
2023-11-25,BTC,exit,0.534,0.0,37780.67,divergent,0.0,momentum_gates,10.0
2023-11-28,BTC,enter,0.0,0.534,37818.87,aligned,0.667,momentum_gates,10.0
2023-11-29,BTC,exit,0.534,0.0,37854.64,divergent,0.0,momentum_gates,10.0
2023-12-01,BTC,enter,0.0,0.534,38682.52,aligned,0.667,momentum_gates,10.0
2023-12-02,BTC,exit,0.534,0.0,39450.35,divergent,0.0,momentum_gates,10.0
2023-12-04,BTC,enter,0.0,0.534,41991.1,aligned,0.667,momentum_gates,10.0
2023-12-10,BTC,exit,0.534,0.0,43789.51,divergent,0.0,momentum_gates,10.0
2023-12-11,BTC,enter,0.0,0.534,41253.4,aligned,0.667,momentum_gates,10.0
2023-12-12,BTC,exit,0.534,0.0,41492.39,divergent,0.0,momentum_gates,10.0
2024-01-02,BTC,enter,0.0,0.534,44946.91,aligned,0.667,momentum_gates,10.0
2024-01-06,BTC,exit,0.534,0.0,43968.32,divergent,0.0,momentum_gates,10.0
2024-01-08,BTC,enter,0.0,0.534,46951.04,aligned,0.667,momentum_gates,10.0
2024-01-12,BTC,exit,0.534,0.0,42782.73,divergent,0.0,momentum_gates,10.0
2024-01-29,BTC,enter,0.0,0.534,43302.7,aligned,0.667,momentum_gates,10.0
2024-02-02,BTC,exit,0.534,0.0,43200.0,divergent,0.0,momentum_gates,10.0
2024-02-07,BTC,enter,0.0,0.534,44349.6,aligned,0.667,momentum_gates,10.0
2024-02-17,BTC,exit,0.534,0.0,51642.64,divergent,0.0,momentum_gates,10.0
2024-02-20,BTC,enter,0.0,0.534,52258.82,aligned,0.667,momentum_gates,10.0
2024-02-21,BTC,exit,0.534,0.0,51849.39,divergent,0.0,momentum_gates,10.0
2024-02-26,BTC,enter,0.0,0.534,54476.47,aligned,0.667,momentum_gates,10.0
2024-03-09,BTC,exit,0.534,0.0,68313.27,divergent,0.0,momentum_gates,10.0
