timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-11-02,CAKE,enter,0.0,0.6,1.562,aligned,0.75,momentum_gates,10.0
2023-11-03,CAKE,exit,0.6,0.0,1.514,divergent,0.0,momentum_gates,10.0
2023-11-04,CAKE,enter,0.0,0.6,1.86,aligned,0.75,momentum_gates,10.0
2023-11-09,CAKE,exit,0.6,0.0,2.017,divergent,0.0,momentum_gates,10.0
2023-11-10,CAKE,enter,0.0,0.6,2.017,aligned,0.75,momentum_gates,10.0
2023-11-11,CAKE,exit,0.6,0.0,2.367,divergent,0.0,momentum_gates,10.0
2023-11-16,CAKE,enter,0.0,0.6,2.54,aligned,0.75,momentum_gates,10.0
2023-11-18,CAKE,exit,0.6,0.0,2.456,divergent,0.0,momentum_gates,10.0
2023-12-25,CAKE,enter,0.0,0.6,2.912,aligned,0.75,momentum_gates,10.0
2023-12-31,CAKE,exit,0.6,0.0,3.472,divergent,0.0,momentum_gates,10.0
2024-03-12,CAKE,enter,0.0,0.6,4.246,aligned,0.75,momentum_gates,10.0
2024-03-16,CAKE,exit,0.6,0.0,4.238,divergent,0.0,momentum_gates,10.0
2024-11-24,CAKE,enter,0.0,0.6,2.61,aligned,0.75,momentum_gates,10.0
2024-12-01,CAKE,exit,0.6,0.0,3.039,divergent,0.0,momentum_gates,10.0
2024-12-03,CAKE,enter,0.0,0.6,3.492,aligned,0.75,momentum_gates,10.0
2024-12-04,CAKE,exit,0.6,0.0,3.963,divergent,0.0,momentum_gates,10.0
2024-12-05,CAKE,enter,0.0,0.6,3.972,aligned,0.75,momentum_gates,10.0
2024-12-09,CAKE,exit,0.6,0.0,3.356,divergent,0.0,momentum_gates,10.0
2025-02-13,CAKE,enter,0.0,0.6,2.629,aligned,0.75,momentum_gates,10.0
2025-02-14,CAKE,exit,0.6,0.0,2.465,divergent,0.0,momentum_gates,10.0
2025-02-15,CAKE,enter,0.0,0.6,2.621,aligned,0.75,momentum_gates,10.0
2025-02-17,CAKE,exit,0.6,0.0,2.656,divergent,0.0,momentum_gates,10.0
2025-10-03,CAKE,enter,0.0,0.666,3.629,aligned,0.833,momentum_gates,10.0
2025-10-04,CAKE,exit,0.666,0.0,3.422,divergent,0.0,momentum_gates,10.0
2025-10-06,CAKE,enter,0.0,0.666,3.774,aligned,0.833,momentum_gates,10.0
2025-10-09,CAKE,exit,0.666,0.0,3.737,divergent,0.0,momentum_gates,10.0
2026-05-30,CAKE,enter,0.0,0.6,1.499,aligned,0.75,momentum_gates,10.0
2026-06-01,CAKE,exit,0.6,0.0,1.442,divergent,0.0,momentum_gates,10.0
