timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-10-27,CAKE,enter,0.0,0.534,1.223,aligned,0.667,momentum_gates,10.0
2023-10-29,CAKE,exit,0.534,0.0,1.24,divergent,0.0,momentum_gates,10.0
2023-11-01,CAKE,enter,0.0,0.534,1.335,aligned,0.667,momentum_gates,10.0
2023-11-02,CAKE,enter,0.534,0.6,1.562,aligned,0.75,momentum_gates,10.0
2023-11-03,CAKE,exit,0.6,0.534,1.514,aligned,0.667,momentum_gates,10.0
2023-11-04,CAKE,enter,0.534,0.6,1.86,aligned,0.75,momentum_gates,10.0
2023-11-09,CAKE,exit,0.6,0.534,2.017,aligned,0.667,momentum_gates,10.0
2023-11-10,CAKE,enter,0.534,0.6,2.017,aligned,0.75,momentum_gates,10.0
2023-11-11,CAKE,exit,0.6,0.534,2.367,aligned,0.667,momentum_gates,10.0
2023-11-12,CAKE,exit,0.534,0.0,2.172,divergent,0.0,momentum_gates,10.0
2023-11-14,CAKE,enter,0.0,0.534,2.34,aligned,0.667,momentum_gates,10.0
2023-11-16,CAKE,enter,0.534,0.6,2.54,aligned,0.75,momentum_gates,10.0
2023-11-18,CAKE,exit,0.6,0.0,2.456,divergent,0.0,momentum_gates,10.0
2023-11-19,CAKE,enter,0.0,0.534,2.518,aligned,0.667,momentum_gates,10.0
2023-11-21,CAKE,exit,0.534,0.0,2.253,divergent,0.0,momentum_gates,10.0
2023-12-04,CAKE,enter,0.0,0.534,2.404,aligned,0.667,momentum_gates,10.0
2023-12-09,CAKE,exit,0.534,0.0,2.46,divergent,0.0,momentum_gates,10.0
2023-12-21,CAKE,enter,0.0,0.534,2.519,aligned,0.667,momentum_gates,10.0
2023-12-25,CAKE,enter,0.534,0.6,2.912,aligned,0.75,momentum_gates,10.0
2023-12-31,CAKE,exit,0.6,0.534,3.472,aligned,0.667,momentum_gates,10.0
2024-01-02,CAKE,exit,0.534,0.0,3.511,divergent,0.0,momentum_gates,10.0
2024-02-08,CAKE,enter,0.0,0.534,2.487,aligned,0.667,momentum_gates,10.0
2024-02-10,CAKE,exit,0.534,0.0,2.559,divergent,0.0,momentum_gates,10.0
2024-02-12,CAKE,enter,0.0,0.534,2.593,aligned,0.667,momentum_gates,10.0
2024-02-13,CAKE,exit,0.534,0.0,2.534,divergent,0.0,momentum_gates,10.0
2024-02-14,CAKE,enter,0.0,0.534,2.703,aligned,0.667,momentum_gates,10.0
2024-02-21,CAKE,exit,0.534,0.0,2.741,divergent,0.0,momentum_gates,10.0
2024-02-22,CAKE,enter,0.0,0.534,2.895,aligned,0.667,momentum_gates,10.0
2024-02-29,CAKE,exit,0.534,0.0,3.083,divergent,0.0,momentum_gates,10.0
2024-03-06,CAKE,enter,0.0,0.534,3.31,aligned,0.667,momentum_gates,10.0
2024-03-12,CAKE,enter,0.534,0.6,4.246,aligned,0.75,momentum_gates,10.0
2024-03-16,CAKE,exit,0.6,0.534,4.238,aligned,0.667,momentum_gates,10.0
2024-03-17,CAKE,exit,0.534,0.0,4.217,divergent,0.0,momentum_gates,10.0
2024-03-25,CAKE,enter,0.0,0.534,4.419,aligned,0.667,momentum_gates,10.0
2024-03-30,CAKE,exit,0.534,0.0,4.588,divergent,0.0,momentum_gates,10.0
2024-04-24,CAKE,enter,0.0,0.534,2.905,aligned,0.667,momentum_gates,10.0
2024-04-25,CAKE,exit,0.534,0.0,2.807,divergent,0.0,momentum_gates,10.0
2024-05-20,CAKE,enter,0.0,0.534,2.767,aligned,0.667,momentum_gates,10.0
2024-05-28,CAKE,exit,0.534,0.0,2.959,divergent,0.0,momentum_gates,10.0
2024-06-04,CAKE,enter,0.0,0.534,2.949,aligned,0.667,momentum_gates,10.0
2024-06-07,CAKE,exit,0.534,0.0,2.763,divergent,0.0,momentum_gates,10.0
2024-07-14,CAKE,enter,0.0,0.534,1.935,aligned,0.667,momentum_gates,10.0
2024-07-17,CAKE,exit,0.534,0.0,1.997,divergent,0.0,momentum_gates,10.0
2024-07-19,CAKE,enter,0.0,0.534,2.063,aligned,0.667,momentum_gates,10.0
2024-07-20,CAKE,exit,0.534,0.0,2.058,divergent,0.0,momentum_gates,10.0
2024-07-21,CAKE,enter,0.0,0.534,2.088,aligned,0.667,momentum_gates,10.0
2024-07-22,CAKE,exit,0.534,0.0,2.027,divergent,0.0,momentum_gates,10.0
2024-08-12,CAKE,enter,0.0,0.534,1.591,aligned,0.667,momentum_gates,10.0
2024-08-13,CAKE,exit,0.534,0.0,1.6,divergent,0.0,momentum_gates,10.0
2024-08-14,CAKE,enter,0.0,0.534,1.596,aligned,0.667,momentum_gates,10.0
2024-08-15,CAKE,exit,0.534,0.0,1.579,divergent,0.0,momentum_gates,10.0
2024-08-19,CAKE,enter,0.0,0.534,1.694,aligned,0.667,momentum_gates,10.0
2024-08-28,CAKE,exit,0.534,0.0,1.796,divergent,0.0,momentum_gates,10.0
2024-09-12,CAKE,enter,0.0,0.534,1.76,aligned,0.667,momentum_gates,10.0
2024-09-14,CAKE,exit,0.534,0.0,1.777,divergent,0.0,momentum_gates,10.0
2024-09-15,CAKE,enter,0.0,0.534,1.778,aligned,0.667,momentum_gates,10.0
2024-09-17,CAKE,exit,0.534,0.0,1.74,divergent,0.0,momentum_gates,10.0
2024-09-18,CAKE,enter,0.0,0.534,1.774,aligned,0.667,momentum_gates,10.0
2024-09-29,CAKE,exit,0.534,0.0,2.129,divergent,0.0,momentum_gates,10.0
2024-10-15,CAKE,enter,0.0,0.534,1.877,aligned,0.667,momentum_gates,10.0
2024-10-16,CAKE,exit,0.534,0.0,1.859,divergent,0.0,momentum_gates,10.0
2024-10-20,CAKE,enter,0.0,0.534,1.983,aligned,0.667,momentum_gates,10.0
2024-10-22,CAKE,exit,0.534,0.0,1.898,divergent,0.0,momentum_gates,10.0
2024-11-06,CAKE,enter,0.0,0.534,1.807,aligned,0.667,momentum_gates,10.0
2024-11-13,CAKE,exit,0.534,0.0,1.88,divergent,0.0,momentum_gates,10.0
2024-11-21,CAKE,enter,0.0,0.534,1.957,aligned,0.667,momentum_gates,10.0
2024-11-24,CAKE,enter,0.534,0.6,2.61,aligned,0.75,momentum_gates,10.0
2024-12-01,CAKE,exit,0.6,0.534,3.039,aligned,0.667,momentum_gates,10.0
2024-12-03,CAKE,enter,0.534,0.6,3.492,aligned,0.75,momentum_gates,10.0
2024-12-04,CAKE,exit,0.6,0.534,3.963,aligned,0.667,momentum_gates,10.0
2024-12-05,CAKE,enter,0.534,0.6,3.972,aligned,0.75,momentum_gates,10.0
2024-12-09,CAKE,exit,0.6,0.0,3.356,divergent,0.0,momentum_gates,10.0
2024-12-28,CAKE,enter,0.0,0.534,2.62,aligned,0.667,momentum_gates,10.0
2024-12-29,CAKE,exit,0.534,0.0,2.519,divergent,0.0,momentum_gates,10.0
2025-01-02,CAKE,enter,0.0,0.534,2.67,aligned,0.667,momentum_gates,10.0
2025-01-05,CAKE,exit,0.534,0.0,2.817,divergent,0.0,momentum_gates,10.0
2025-01-06,CAKE,enter,0.0,0.534,2.791,aligned,0.667,momentum_gates,10.0
2025-01-08,CAKE,exit,0.534,0.0,2.314,divergent,0.0,momentum_gates,10.0
2025-01-17,CAKE,enter,0.0,0.534,2.533,aligned,0.667,momentum_gates,10.0
2025-01-19,CAKE,exit,0.534,0.0,2.161,divergent,0.0,momentum_gates,10.0
2025-02-08,CAKE,enter,0.0,0.534,1.696,aligned,0.667,momentum_gates,10.0
2025-02-13,CAKE,enter,0.534,0.6,2.629,aligned,0.75,momentum_gates,10.0
2025-02-14,CAKE,exit,0.6,0.534,2.465,aligned,0.667,momentum_gates,10.0
2025-02-15,CAKE,enter,0.534,0.6,2.621,aligned,0.75,momentum_gates,10.0
2025-02-17,CAKE,exit,0.6,0.534,2.656,aligned,0.667,momentum_gates,10.0
2025-02-20,CAKE,exit,0.534,0.0,2.502,divergent,0.0,momentum_gates,10.0
2025-03-20,CAKE,enter,0.0,0.534,2.395,aligned,0.667,momentum_gates,10.0
2025-03-21,CAKE,exit,0.534,0.0,2.682,divergent,0.0,momentum_gates,10.0
