timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-11-02,TWT,enter,0.0,0.534,1.137,aligned,0.667,momentum_gates,10.0
2023-11-06,TWT,enter,0.534,0.6,1.678,aligned,0.75,momentum_gates,10.0
2023-11-09,TWT,exit,0.6,0.534,1.3556,aligned,0.667,momentum_gates,10.0
2023-11-11,TWT,exit,0.534,0.0,1.3501,divergent,0.0,momentum_gates,10.0
2023-11-28,TWT,enter,0.0,0.534,1.1326,aligned,0.667,momentum_gates,10.0
2023-11-29,TWT,exit,0.534,0.0,1.1119,divergent,0.0,momentum_gates,10.0
2023-12-02,TWT,enter,0.0,0.534,1.2007,aligned,0.667,momentum_gates,10.0
2023-12-06,TWT,exit,0.534,0.0,1.1827,divergent,0.0,momentum_gates,10.0
2023-12-07,TWT,enter,0.0,0.534,1.2151,aligned,0.667,momentum_gates,10.0
2023-12-09,TWT,exit,0.534,0.0,1.2279,divergent,0.0,momentum_gates,10.0
2023-12-21,TWT,enter,0.0,0.534,1.1997,aligned,0.667,momentum_gates,10.0
2023-12-28,TWT,exit,0.534,0.0,1.2678,divergent,0.0,momentum_gates,10.0
2024-02-09,TWT,enter,0.0,0.534,1.1478,aligned,0.667,momentum_gates,10.0
2024-02-10,TWT,exit,0.534,0.0,1.1561,divergent,0.0,momentum_gates,10.0
2024-02-11,TWT,enter,0.0,0.534,1.1603,aligned,0.667,momentum_gates,10.0
2024-02-12,TWT,exit,0.534,0.0,1.1909,divergent,0.0,momentum_gates,10.0
2024-02-13,TWT,enter,0.0,0.534,1.1995,aligned,0.667,momentum_gates,10.0
2024-02-14,TWT,exit,0.534,0.0,1.2262,divergent,0.0,momentum_gates,10.0
2024-02-15,TWT,enter,0.0,0.534,1.2162,aligned,0.667,momentum_gates,10.0
2024-02-21,TWT,exit,0.534,0.0,1.2817,divergent,0.0,momentum_gates,10.0
2024-02-23,TWT,enter,0.0,0.534,1.279,aligned,0.667,momentum_gates,10.0
2024-02-24,TWT,exit,0.534,0.0,1.3349,divergent,0.0,momentum_gates,10.0
2024-02-29,TWT,enter,0.0,0.534,1.3772,aligned,0.667,momentum_gates,10.0
2024-03-01,TWT,exit,0.534,0.0,1.4282,divergent,0.0,momentum_gates,10.0
2024-03-02,TWT,enter,0.0,0.534,1.4917,aligned,0.667,momentum_gates,10.0
2024-03-03,TWT,exit,0.534,0.0,1.4643,divergent,0.0,momentum_gates,10.0
2024-03-07,TWT,enter,0.0,0.534,1.4814,aligned,0.667,momentum_gates,10.0
2024-03-08,TWT,exit,0.534,0.0,1.4755,divergent,0.0,momentum_gates,10.0
2024-03-09,TWT,enter,0.0,0.534,1.5433,aligned,0.667,momentum_gates,10.0
2024-03-16,TWT,exit,0.534,0.0,1.3507,divergent,0.0,momentum_gates,10.0
2024-03-26,TWT,enter,0.0,0.534,1.4131,aligned,0.667,momentum_gates,10.0
2024-03-27,TWT,exit,0.534,0.0,1.3977,divergent,0.0,momentum_gates,10.0
2024-04-08,TWT,enter,0.0,0.534,1.3035,aligned,0.667,momentum_gates,10.0
2024-04-09,TWT,exit,0.534,0.0,1.2292,divergent,0.0,momentum_gates,10.0
2024-04-20,TWT,enter,0.0,0.534,1.1382,aligned,0.667,momentum_gates,10.0
2024-04-21,TWT,exit,0.534,0.0,1.1394,divergent,0.0,momentum_gates,10.0
2024-04-22,TWT,enter,0.0,0.534,1.1873,aligned,0.667,momentum_gates,10.0
2024-04-24,TWT,exit,0.534,0.0,1.0928,divergent,0.0,momentum_gates,10.0
2024-05-01,TWT,enter,0.0,0.534,1.0281,aligned,0.667,momentum_gates,10.0
2024-05-02,TWT,exit,0.534,0.0,1.0597,divergent,0.0,momentum_gates,10.0
2024-05-03,TWT,enter,0.0,0.534,1.1885,aligned,0.667,momentum_gates,10.0
2024-05-06,TWT,exit,0.534,0.0,1.1247,divergent,0.0,momentum_gates,10.0
2024-05-20,TWT,enter,0.0,0.534,1.1329,aligned,0.667,momentum_gates,10.0
2024-05-24,TWT,exit,0.534,0.0,1.1132,divergent,0.0,momentum_gates,10.0
2024-05-28,TWT,enter,0.0,0.534,1.1573,aligned,0.667,momentum_gates,10.0
2024-06-03,TWT,exit,0.534,0.0,1.2314,divergent,0.0,momentum_gates,10.0
2024-06-04,TWT,enter,0.0,0.534,1.3482,aligned,0.667,momentum_gates,10.0
2024-06-07,TWT,exit,0.534,0.0,1.2144,divergent,0.0,momentum_gates,10.0
2024-06-30,TWT,enter,0.0,0.534,1.0871,aligned,0.667,momentum_gates,10.0
